timestamp,screen_brightness,left_pupil_diameter_mm,right_pupil_diameter_mm,average_pupil_diameter_mm,event
2025-11-25 16:08:06.711,0.1422667,4.03671,3.906294,3.971502,Continuous Logging
2025-11-25 16:08:07.219,0.1422771,4.147103,3.924506,4.035805,Continuous Logging
2025-11-25 16:08:07.733,0.1422314,4.043537,3.907821,3.975679,Continuous Logging
2025-11-25 16:08:08.234,0.1397656,4.084536,3.888523,3.986529,Continuous Logging
2025-11-25 16:08:08.737,0.09595069,4.179316,3.880286,4.029801,Continuous Logging
2025-11-25 16:08:09.247,0.46153,4.031478,3.845782,3.93863,Continuous Logging
2025-11-25 16:08:09.749,0.4619146,4.130559,3.767117,3.948838,Continuous Logging
2025-11-25 16:08:10.255,0.46416,3.890521,3.479369,3.684945,Continuous Logging
2025-11-25 16:08:10.764,0.3982724,3.818129,3.51179,3.66496,Continuous Logging
2025-11-25 16:08:11.267,0.08699452,3.626276,3.545998,3.586137,Continuous Logging
2025-11-25 16:08:11.780,0.08625902,4.018866,4.011282,4.015074,Continuous Logging
2025-11-25 16:08:12.280,0.08550277,4.155007,3.926292,4.040649,Continuous Logging
2025-11-25 16:08:12.786,0.08515736,4.08212,3.714699,3.89841,Continuous Logging
2025-11-25 16:08:13.291,0.08458079,4.283949,3.80355,4.043749,Continuous Logging
2025-11-25 16:08:13.797,0.2824194,4.266541,4.071788,4.169165,Continuous Logging
2025-11-25 16:08:14.302,0.4618407,3.935735,4.059466,3.997601,Continuous Logging
2025-11-25 16:08:14.809,0.4616912,3.932498,3.907875,3.920187,Continuous Logging
2025-11-25 16:08:15.313,0.2854935,3.800358,3.603024,3.701691,Continuous Logging
2025-11-25 16:08:15.816,0.08538827,3.828588,3.640939,3.734764,Continuous Logging
2025-11-25 16:08:16.324,0.08500405,3.992755,3.980519,3.986637,Continuous Logging
2025-11-25 16:08:16.826,0.08459622,3.846398,3.984193,3.915295,Continuous Logging
2025-11-25 16:08:17.334,0.3282223,4.030981,4.032545,4.031763,Continuous Logging
2025-11-25 16:08:17.836,0.6572673,3.717827,3.864376,3.791102,Continuous Logging
2025-11-25 16:08:18.336,0.6441928,3.567779,3.642805,3.605292,Continuous Logging
2025-11-25 16:08:18.847,0.22526,3.488581,3.532351,3.510466,Continuous Logging
2025-11-25 16:08:19.349,0.1260528,3.650251,3.694017,3.672134,Continuous Logging
2025-11-25 16:08:19.858,0.128953,3.871221,3.82584,3.84853,Continuous Logging
2025-11-25 16:08:20.366,0.7139839,3.567068,3.729593,3.648331,Continuous Logging
2025-11-25 16:08:20.868,0.6247942,3.505497,3.467628,3.486562,Continuous Logging
2025-11-25 16:08:21.371,0.5382532,3.77773,3.849814,3.813772,Continuous Logging
2025-11-25 16:08:21.879,0.4765309,3.973783,3.976753,3.975268,Continuous Logging
2025-11-25 16:08:22.388,0.4774339,3.955031,3.868092,3.911561,Continuous Logging
2025-11-25 16:08:22.891,0.4867399,4.067102,4.033783,4.050443,Continuous Logging
2025-11-25 16:08:23.399,0.482638,3.965883,3.919562,3.942722,Continuous Logging
2025-11-25 16:08:23.905,0.4836238,4.228072,4.196863,4.212467,Continuous Logging
2025-11-25 16:08:24.431,0.4803733,3.857003,3.869507,3.863255,Continuous Logging
2025-11-25 16:08:24.934,0.4832553,4.182632,4.087643,4.135138,Continuous Logging
2025-11-25 16:08:25.435,0.5051328,4.12234,4.149706,4.136023,Continuous Logging
2025-11-25 16:08:25.943,0.510118,4.050721,3.89742,3.974071,Continuous Logging
2025-11-25 16:08:26.454,0.5107293,4.212154,4.052477,4.132316,Continuous Logging
2025-11-25 16:08:27.054,0.5155873,4.157064,4.103418,4.130241,Continuous Logging
